propertyId,title,deal,type,status,ward,address,access,rent,managementFee,deposit,keyMoney,contractTerm,price,yieldRate,tenure,zoning,buildingCoverage,floorAreaRatio,privateRoad,buildingPermit,areaTsubo,floor,floorsTotal,built,structure,features,usage,availableFrom,description,infoUpdatedAt
CMP-260805-01,バイリンクビル白金台 B1F,賃貸,店舗,募集中,港区,東京都港区白金台四丁目7番12号,東京メトロ南北線・都営三田線「白金台」駅徒歩1分／JR山手線「目黒」駅徒歩13分,700000,0,2,2,定期借家10年（更新相談可）,,,,,,,,,12.7,B1F,3,2005-08,RC造,飲食可;24時間利用可;看板設置可;駅徒歩5分以内,飲食店;カフェ;バー;物販;サービス;店舗;事務所,即入居可,"東京メトロ南北線・都営三田線「白金台」駅から徒歩1分。地下1階・41.99㎡（12.7坪）の区画です。
間仕切りは撤去済みで、レイアウトを一から検討いただけます。
2026年5月に外観等の改修工事が完了した、鉄筋コンクリート造3階建て（地下1階付）のビルです。ガスは10号の引き込み予定で、重飲食を含む幅広い業種にご対応いただけます（業種はご相談ください）。24時間の営業が可能で、看板の設置もご相談いただけます。
フリーレント1ヶ月、改装協力金1,000,000円のご相談が可能です。共益費は賃料に含まれます。水道・電気・ガスは実費、火災保険・保証会社の加入が必要です。契約から2年以内に解約される場合は、短期解約違約金として賃料2ヶ月分が必要です。",2026-08-05
CMP-260805-02,バイリンクビル白金台 1F,賃貸,店舗,募集中,港区,東京都港区白金台四丁目7番12号,東京メトロ南北線・都営三田線「白金台」駅徒歩1分／JR山手線「目黒」駅徒歩13分,1000000,0,2,2,定期借家10年（更新相談可）,,,,,,,,,12.7,1F,3,2005-08,RC造,飲食可;24時間利用可;看板設置可;駅徒歩5分以内;1階路面;居抜き,飲食店;カフェ;バー;物販;サービス;店舗;事務所,即入居可,"東京メトロ南北線・都営三田線「白金台」駅から徒歩1分。1階路面・41.99㎡（12.7坪）の区画です。
旧カフェの居抜きで、厨房設備が残っています。
2026年5月に外観等の改修工事が完了した、鉄筋コンクリート造3階建て（地下1階付）のビルです。ガスは10号の引き込み予定で、重飲食を含む幅広い業種にご対応いただけます（業種はご相談ください）。24時間の営業が可能で、看板の設置もご相談いただけます。
フリーレント1ヶ月、改装協力金1,000,000円のご相談が可能です。共益費は賃料に含まれます。水道・電気・ガスは実費、火災保険・保証会社の加入が必要です。契約から2年以内に解約される場合は、短期解約違約金として賃料2ヶ月分が必要です。",2026-08-05
CMP-260805-03,バイリンクビル白金台 2F,賃貸,店舗,募集中,港区,東京都港区白金台四丁目7番12号,東京メトロ南北線・都営三田線「白金台」駅徒歩1分／JR山手線「目黒」駅徒歩13分,700000,0,2,2,定期借家10年（更新相談可）,,,,,,,,,12.7,2F,3,2005-08,RC造,飲食可;24時間利用可;看板設置可;駅徒歩5分以内;居抜き,飲食店;カフェ;バー;物販;サービス;店舗;事務所,即入居可,"東京メトロ南北線・都営三田線「白金台」駅から徒歩1分。2階・41.99㎡（12.7坪）の区画です。
元ネイルサロンの居抜きです。
2026年5月に外観等の改修工事が完了した、鉄筋コンクリート造3階建て（地下1階付）のビルです。ガスは10号の引き込み予定で、重飲食を含む幅広い業種にご対応いただけます（業種はご相談ください）。24時間の営業が可能で、看板の設置もご相談いただけます。
フリーレント1ヶ月、改装協力金1,000,000円のご相談が可能です。共益費は賃料に含まれます。水道・電気・ガスは実費、火災保険・保証会社の加入が必要です。契約から2年以内に解約される場合は、短期解約違約金として賃料2ヶ月分が必要です。",2026-08-05
CMP-260805-04,バイリンクビル白金台 3F,賃貸,オフィス,募集中,港区,東京都港区白金台四丁目7番12号,東京メトロ南北線・都営三田線「白金台」駅徒歩1分／JR山手線「目黒」駅徒歩13分,600000,0,2,2,定期借家10年（更新相談可）,,,,,,,,,10.62,3F,3,2005-08,RC造,飲食可;24時間利用可;看板設置可;駅徒歩5分以内;居抜き,飲食店;カフェ;バー;物販;サービス;店舗;事務所,即入居可,"東京メトロ南北線・都営三田線「白金台」駅から徒歩1分。3階・35.11㎡（10.62坪）の区画です。
元オフィス仕様の居抜きです。
2026年5月に外観等の改修工事が完了した、鉄筋コンクリート造3階建て（地下1階付）のビルです。ガスは10号の引き込み予定で、重飲食を含む幅広い業種にご対応いただけます（業種はご相談ください）。24時間の営業が可能で、看板の設置もご相談いただけます。
フリーレント1ヶ月、改装協力金1,000,000円のご相談が可能です。共益費は賃料に含まれます。水道・電気・ガスは実費、火災保険・保証会社の加入が必要です。契約から2年以内に解約される場合は、短期解約違約金として賃料2ヶ月分が必要です。",2026-08-05
